time, ax, ay, az, gx, gy, gz, mx, my, mz
   489264776,   -0.02490,    -0.01270,    +1.02686,   -0.01596,    -0.01064,    -0.00532,  -37.47832,   -59.92910,   -33.69961
   489275682,   -0.02002,    -0.01074,    +1.01904,   -0.01490,    -0.00958,    -0.01277,  -37.47832,   -59.92910,   -33.69961
   489286656,   -0.01416,    -0.01123,    +1.02100,   -0.01490,    -0.00319,    -0.01064,  -36.21094,   -59.02383,   -33.52500
   489297601,   -0.01172,    -0.01270,    +1.03174,   -0.01277,    -0.00851,    -0.01064,  -36.21094,   -59.02383,   -33.52500
   489308509,   -0.01660,    -0.01465,    +1.03223,   -0.01383,    -0.00851,    -0.01383,  -36.21094,   -59.02383,   -33.52500
   489319490,   -0.01318,    -0.01221,    +1.01953,   -0.01596,    -0.00532,    -0.01277,  -36.21094,   -59.02383,   -33.52500
   489330429,   -0.01465,    -0.01562,    +1.03271,   -0.01383,    -0.00851,    -0.00745,  -36.21094,   -59.02383,   -33.52500
   489341350,   -0.01807,    -0.00049,    +1.02051,   -0.01171,    -0.01064,    -0.00639,  -36.21094,   -59.02383,   -33.52500
   489352320,   -0.02246,    -0.01172,    +1.02197,   -0.01064,    -0.01171,    -0.00958,  -36.21094,   -59.02383,   -33.52500
   489363225,   -0.02051,    -0.02002,    +1.03467,   -0.01703,    -0.00958,    -0.00851,  -36.21094,   -59.02383,   -33.52500
   489374149,   -0.01855,    -0.02148,    +1.02539,   -0.01916,    -0.00851,    -0.01277,  -36.21094,   -59.02383,   -33.52500
   489385065,   -0.02197,    -0.00732,    +1.03516,   -0.01171,    -0.01171,    -0.01383,  -36.21094,   -59.02383,   -33.52500
   489395970,   -0.00635,    -0.00781,    +1.02734,   -0.01277,    -0.01171,    -0.01064,  -36.21094,   -59.02383,   -33.52500
   489406931,   -0.01221,    -0.01172,    +1.03125,   -0.00958,    -0.00958,    -0.00958,  -36.21094,   -59.02383,   -33.52500
   489417886,   -0.01758,    -0.00928,    +1.02148,   -0.01490,    -0.01277,    -0.00851,  -36.21094,   -59.02383,   -33.52500
   489428848,   -0.01709,    -0.01318,    +1.03223,   -0.01596,    -0.00639,    -0.01171,  -36.21094,   -59.02383,   -33.52500
   489439799,   -0.01465,    -0.00488,    +1.02100,   -0.01277,    -0.01383,    -0.01171,  -36.21094,   -59.02383,   -33.52500
   489450707,   -0.00830,    -0.01514,    +1.03516,   -0.01277,    -0.01064,    -0.01064,  -36.21094,   -59.02383,   -33.52500
   489461327,   -0.01514,    -0.02100,    +1.01709,   -0.01490,    -0.00958,    -0.01064,  -36.21094,   -59.02383,   -33.52500
   489471910,   -0.01562,    -0.02002,    +1.01807,   -0.01383,    -0.00958,    -0.01171,  -36.21094,   -59.02383,   -33.52500
   489482494,   -0.00830,    -0.00781,    +1.02393,   -0.01383,    -0.01171,    -0.00532,  -36.21094,   -59.02383,   -33.52500
   489493072,   -0.01904,    -0.01270,    +1.01465,   -0.01277,    -0.00958,    -0.01277,  -36.21094,   -59.02383,   -33.52500
   489503656,   -0.01465,    -0.00879,    +1.03027,   -0.01596,    -0.00958,    -0.01171,  -36.21094,   -59.02383,   -33.52500
   489514261,   -0.01465,    -0.01270,    +1.03711,   -0.01809,    -0.01490,    -0.00958,  -36.21094,   -59.02383,   -33.52500
